
【10-28 17:34:10]  X:0.0 Y:0.0 Z:0.0
【10-28 17:34:11]  X:-0.056333542 Y:-0.3028518 Z:-0.21722674
【10-28 17:34:11]  X:-0.7612581 Y:0.39472008 Z:-0.54611754
【10-28 17:34:11]  X:-2.225472 Y:-0.84132826 Z:0.50081515
【10-28 17:34:11]  X:2.8356228 Y:-1.5394654 Z:0.8366213
【10-28 17:34:11]  X:4.0707607 Y:2.5404758 Z:0.5929033
【10-28 17:34:12]  X:3.4880867 Y:4.450816 Z:1.3286095
【10-28 17:34:12]  X:2.33459 Y:1.1934912 Z:1.0127006
【10-28 17:34:12]  X:2.1050978 Y:-7.093811 Z:1.4407325
【10-28 17:34:12]  X:-2.943892 Y:-7.3703914 Z:-0.25785625
【10-28 17:34:12]  X:0.11526871 Y:-3.6908326 Z:-0.32103038
【10-28 17:34:13]  X:3.6502552 Y:2.0908031 Z:1.1685684
【10-28 17:34:13]  X:4.9497437 Y:6.545727 Z:0.76645046
【10-28 17:34:13]  X:4.6075516 Y:0.7300217 Z:1.1707025
【10-28 17:34:13]  X:2.347743 Y:-7.49871 Z:1.0402019
【10-28 17:34:13]  X:-3.6402373 Y:-7.644085 Z:0.491792
【10-28 17:34:14]  X:0.03920746 Y:-4.6659055 Z:0.5865829
【10-28 17:34:14]  X:4.1185613 Y:1.963161 Z:0.9914601
【10-28 17:34:14]  X:4.9836903 Y:6.3829026 Z:-1.3465943
【10-28 17:34:14]  X:5.091275 Y:1.8450224 Z:1.3532927
【10-28 17:34:14]  X:3.0676126 Y:-7.5963964 Z:0.93536997
【10-28 17:34:15]  X:-3.6966715 Y:-8.4172735 Z:-0.007422447
【10-28 17:34:15]  X:-0.403862 Y:-5.4120207 Z:-0.089186646
【10-28 17:34:15]  X:4.836339 Y:1.7497663 Z:0.47056282
【10-28 17:34:15]  X:5.590435 Y:6.5896544 Z:1.639782
【10-28 17:34:15]  X:4.813137 Y:2.1127841 Z:2.10514
【10-28 17:34:16]  X:3.162547 Y:-7.407186 Z:0.06788939
【10-28 17:34:16]  X:-2.7768054 Y:-8.229324 Z:0.13135761
【10-28 17:34:16]  X:-1.6142054 Y:-5.9539366 Z:0.024671257
【10-28 17:34:16]  X:4.948233 Y:1.0983028 Z:1.0358489
【10-28 17:34:16]  X:5.9136953 Y:6.54862 Z:-0.8344238
