
【10-28 17:30:59]  X:-0.019174745 Y:-0.009454215 Z:-1.1571426
【10-28 17:30:59]  X:0.7906919 Y:-0.28122962 Z:-2.680736
【10-28 17:30:59]  X:0.33622384 Y:-0.00785632 Z:-1.4805833
【10-28 17:30:59]  X:-0.40559912 Y:-0.14580797 Z:1.2925643
【10-28 17:30:59]  X:-0.58456343 Y:0.07203846 Z:2.7526412
【10-28 17:31:00]  X:-0.59335184 Y:0.43369547 Z:1.1281142
【10-28 17:31:00]  X:0.40653124 Y:-0.04753739 Z:-0.7928225
【10-28 17:31:00]  X:0.8130625 Y:-0.024367906 Z:-2.6350627
【10-28 17:31:00]  X:0.3864244 Y:0.011851058 Z:-1.516536
【10-28 17:31:00]  X:-0.20386483 Y:-0.4487423 Z:1.2869717
【10-28 17:31:01]  X:-0.5036034 Y:-0.044607915 Z:2.7148244
【10-28 17:31:01]  X:-0.23302642 Y:-0.08908267 Z:1.4956301
【10-28 17:31:01]  X:0.18362482 Y:0.10452899 Z:-0.95540833
【10-28 17:31:01]  X:0.8977509 Y:0.035153702 Z:-2.7546387
【10-28 17:31:01]  X:0.46405548 Y:0.052331075 Z:-1.499758
【10-28 17:31:01]  X:-0.36711648 Y:-0.24700801 Z:0.99082834
【10-28 17:31:02]  X:-0.316117 Y:-0.04860265 Z:2.5482438
【10-28 17:31:02]  X:-0.91998833 Y:0.525175 Z:1.3065459
【10-28 17:31:02]  X:0.25912538 Y:0.012516848 Z:-0.46645233
【10-28 17:31:02]  X:0.9403615 Y:-0.13941638 Z:-2.5539696
【10-28 17:31:02]  X:0.3483412 Y:0.025166854 Z:-1.8285251
【10-28 17:31:03]  X:-0.3696465 Y:-0.24274695 Z:0.7010766
【10-28 17:31:03]  X:-0.03914844 Y:-0.2518017 Z:2.554236
【10-28 17:31:03]  X:-0.91333044 Y:0.51252496 Z:1.6724639
【10-28 17:31:03]  X:0.07496793 Y:0.094542146 Z:-0.23675485
【10-28 17:31:03]  X:1.1679285 Y:-0.2996054 Z:-2.485127
【10-28 17:31:04]  X:0.1782985 Y:0.103064254 Z:-2.0515647
【10-28 17:31:04]  X:-0.042610545 Y:-0.35033858 Z:0.5640571
【10-28 17:31:04]  X:0.3784349 Y:-0.28828698 Z:2.1415794
【10-28 17:31:04]  X:-0.40453386 Y:0.5402218 Z:1.5488933
【10-28 17:31:04]  X:0.027031064 Y:-0.021971062 Z:0.28562382
【10-28 17:31:05]  X:0.5123918 Y:-0.24993747 Z:-2.2959094
【10-28 17:31:05]  X:0.19960378 Y:-0.1941443 Z:-1.7124113
【10-28 17:31:05]  X:-0.30293435 Y:-0.086153194 Z:0.24660853
【10-28 17:31:05]  X:0.015579481 Y:-0.115447946 Z:1.9957714
